,address,price,price_change,area,list_fee,sold_date,price_sqm,sqm,rooms,Hiss,Uteplats,Nyproduktion,Balkong
1585,Sven Rinmans gata 5,3350000,0.12,Kungsholmen/Norr Mälarstrand,1195.0,2022-10-05,111667,30,1,0,0,0,0
1586,Fridhemsgatan 35,5995000,0.0,Kungsholmen,2876.0,2022-10-05,107054,56,2,0,0,0,1
1587,Birger Jarlsgatan 104 G,2650000,0.05,Östermalm/ Vasastan,1467.0,2022-10-05,132500,20,1,0,0,0,0
1588,Kristinehovsgatan 5B,3150000,0.06,Södermalm - Högalid,2552.0,2022-10-05,80769,39,1.5,1,0,0,0
1589,"Rålambsvägen 70, 2,5 tr",3180000,0.06,Fredhäll,2539.0,2022-10-05,90857,35,1.5,1,0,0,1
1590,"Grev Magnigatan 17C, 2 tr. över gården",7800000,0.12,Östermalm,1992.0,2022-10-05,125806,62,2,0,0,0,1
1591,"Tobaksspinnargatan 10, 5 tr",7005000,0.1,Södermalm - Hornstull,3849.0,2022-10-05,103015,68,3,1,0,0,1
1592,Teknologgatan 11,4000000,-0.02,Vasastan,1710.0,2022-10-05,90909,44,2,0,0,0,0
1593,"Krukmakargatan 49, Vån 4 / 4",6000000,0.04,Södermalm / Tanto,2736.0,2022-10-05,95238,63,3,1,0,0,1
1594,"Sigtunagatan 11A, 2tr i gårdshus",4100000,-0.09,Vasastan,1984.0,2022-10-05,107895,38,1.5,0,0,0,1
1595,Cardellgatan 5,6100000,0.11,Östermalm,1950.0,2022-10-05,129787,47,2,0,0,0,0
1596,"Folkskolegatan 6, 2tr",2710000,0.18,Södermalm,1879.0,2022-10-05,123182,22,1,1,0,0,1
1597,Kammakargatan 64B,8100000,-0.06,Vasastan,3740.0,2022-10-05,115714,70,3,1,0,0,1
1598,"Västmannagatan 55 A, högst upp över gård.",3920000,-0.01,Vasastan,1456.0,2022-10-05,122500,32,1,0,0,0,1
1599,"Norrbackagatan 15, 4tr.",5665000,-0.01,Vasastan - Birkastan,1556.0,2022-10-04,99386,57,2,1,0,0,1
1600,"Pipersgatan 26, 3 tr",8250000,0.1,Nedre Kungsholmen,2764.0,2022-10-04,125000,66,3,0,0,0,1
1601,"Frejgatan 51, 2tr",5425000,0.16,Vasastan,2125.0,2022-10-04,117935,46,2,1,0,0,1
1602,"Harry Martinsons gata 9, 2tr",4900000,0.04,Hornsbergs Strand,3091.0,2022-10-04,75385,65,2,1,0,0,1
1603,"Nina Einhorns gata 10, 9 / 9 tr",10900000,0.0,Vasastan / Hagastaden,5186.0,2022-10-04,114737,95,3,1,0,0,1
1604,Stureparken 11,6400000,0.08,Östermalm,1600.0,2022-10-04,123077,52,2,1,0,0,0
1605,"Grev Turegatan 80, 3tr",11400000,0.09,Östermalm,3410.0,2022-10-04,139024,82,3,1,0,0,1
1606,"Bågljusvägen 5, vån 4",3255000,0.02,Kungsholmen Fridhemsplan,2651.0,2022-10-04,87973,37,1,1,0,0,1
1607,Heleneborgsgatan 12B,15200000,0.0,Södermalm,5175.0,2022-10-04,100000,152,4,0,0,0,0
1608,Kungsholmsgatan 44,4450000,0.06,Kungsholmen,1875.0,2022-10-04,108537,41,2,0,0,0,1
1609,"Sveavägen 97, 3 tr - Gårdsläge",4550000,0.07,Vasastan Odenplan,2057.0,2022-10-04,104598,"43,5",2,1,0,0,0
1610,"Sankt Göransgatan 153, 2tr ACCEPTERAT PRIS!",3500000,0.01,Kungsholmen / Stadshagen,2144.0,2022-10-04,85366,41,2,1,0,0,1
1611,Wollmar Yxkullsgatan 12,8625000,-0.02,Södermalm Maria,2307.0,2022-10-04,109177,79,3,1,0,0,1
1612,Brännkyrkagatan 45A,7650000,-0.09,Södermalm,3261.0,2022-10-04,94444,81,3,0,0,0,1
1613,Bastugatan 25,4000000,-0.07,Södermalm,1701.0,2022-10-04,83333,48,1,1,0,0,0
1614,"Doktor Abelins gata 6, 3 tr",6825000,0.05,Södermalm,2955.0,2022-10-04,100368,68,3,1,0,0,0
1615,"Åsögatan 175, 4tr",4450000,0.05,Södermalm - Katarina Sofia,2758.0,2022-10-04,94681,47,2,1,0,0,0
1616,"Svarvargatan 10, 4tr",4910000,0.05,Kungsholmen,2449.0,2022-10-04,104468,47,2,1,0,0,1
1617,"Ehrensvärdsgatan 6, 1 tr",2725000,-0.11,Kungsholmen,1117.0,2022-10-04,93966,29,1,1,0,0,0
1618,"Heleneborgsgatan 13B, 4 tr",5400000,0.01,Södermalm Högalid,2974.0,2022-10-04,96429,56,2,1,0,0,0
1619,"Norrtullsgatan 16E, 3tr",6100000,0.03,Vasastan,2270.0,2022-10-04,92424,66,3,1,0,0,1
1620,"Fleminggatan 40C, 6 tr",7150000,0.08,Kungsholmen,3727.0,2022-10-04,88272,81,3,1,0,0,1
1621,Hornsgatan 178,4150000,0.19,Hornstull,1798.0,2022-10-04,96512,43,2,1,0,0,0
1622,"Gävlegatan 6, 3tr",11850000,0.1,Vasastan,4862.0,2022-10-04,120918,98,3.5,1,0,0,1
1623,Högbergsgatan 24,3430000,-0.05,Södermalm - Katarina Sofia,2478.0,2022-10-04,85750,40,2,1,0,0,0
1624,Allhelgonagatan 7,4700000,0.05,Södermalm - Skanstull,2279.0,2022-10-04,81034,58,2,1,0,0,0
1625,"Karlbergsvägen 69, 2 tr",16400000,0.01,Vasastan - Birkastan,4912.0,2022-10-04,125191,131,4,1,0,0,1
1626,Katarina Bangata 61,4050000,0.04,Södermalm/Blecktornsparken,2332.0,2022-10-04,109459,37,2,1,0,0,1
1627,Rödabergsgatan 9B,3950000,-0.01,Vasastan,2560.0,2022-10-04,96341,41,2,0,0,0,0
1628,"Repslagargatan 23, vån 4",5250000,0.05,Södermalm,2544.0,2022-10-04,82031,64,2,1,0,0,1
1629,"Folkungagatan 104, 3 tr",7920000,0.04,Södermalm,3671.0,2022-10-04,102857,77,3,1,0,0,1
1630,"Torsgatan 41, 4 tr",3750000,-0.06,Vasastan,1507.0,2022-10-04,96154,39,2,1,0,0,0
1631,Verkstadsgatan 5,4050000,-0.07,Hornstull,2505.0,2022-10-03,77885,52,2,1,0,0,0
1632,Hallandsgatan 30,7195000,0.0,Katarina,3995.0,2022-10-03,89938,80,3,1,0,0,0
1633,"Rålambsvägen 48, 3tr, ACCEPTERAT PRIS",3050000,-0.05,Kungsholmen - Fredhäll,2135.0,2022-10-03,79221,"38,5",2,0,0,0,0
1634,"Rådmansgatan 75, 2tr",9350000,-0.05,Vasastan,4058.0,2022-10-03,98421,95,4,1,0,0,1
1635,Blekingegatan 38,7700000,-0.04,Södermalm,3905.0,2022-10-03,88506,87,3,1,0,0,0
1636,"Bondegatan 81, 3 tr",3750000,-0.06,Södermalm,2569.0,2022-10-03,78125,48,1.5,1,0,0,0
1637,Luntmakargatan 69,10150000,-0.08,Vasastaden,4902.0,2022-10-03,104639,97,3,0,0,0,1
1638,Gambrinusgatan 6,6130000,0.02,Kungsholmen,3585.0,2022-10-03,79610,77,3,1,0,0,1
1639,"Hornsgatan 107, bv (sutterräng)",2400000,-0.11,Hornstull,1371.0,2022-10-03,72727,33,1.5,1,0,0,0
1640,Stureparken 11,6400000,0.03,Östermalm,1600.0,2022-10-03,123077,52,2,1,0,0,0
1641,Kaptensgatan 14A,12900000,0.0,Östermalm,3095.0,2022-10-03,138710,93,4,1,0,0,1
1642,"Roslagsgatan 45, 4 tr",3820000,0.02,Vasastan - Sibirien,1874.0,2022-10-03,115758,33,2,1,0,0,1
1643,"Bondegatan 79, mot gård!",3650000,-0.01,Södermalm,2195.0,2022-10-03,86905,42,2,1,0,0,0
1644,"Regeringsgatan 70F, 2tr",6300000,0.01,City Norrmalm Vasastan,2714.0,2022-10-03,95455,66,3,1,0,0,1
1645,Sankt eriksplan 15,8250000,0.0,Vasastaden,3053.0,2022-10-03,110000,75,3,1,0,0,1
1646,"Vulcanusgatan 1, 2tr",4150000,-0.01,Vasastan / Atlas,2026.0,2022-10-03,101220,41,2,1,0,0,0
1647,Torbjörn Klockares Gata 25 Accepterat pris.,2899000,-0.03,Vasastan,1280.0,2022-10-03,107370,27,1,1,0,0,0
1648,Bellmansgatan 23A,7500000,0.07,Södermalm,2708.0,2022-10-03,111940,67,3,0,0,0,1
1649,Vidargatan 4,3800000,0.0,Vasastan,1043.0,2022-10-03,135714,28,2,1,0,0,1
1650,Långholmsgatan 9 C,3900000,0.04,Hornstull,2349.0,2022-10-03,79592,49,2,0,0,0,0
1651,Kungsklippan 20,3150000,0.0,Kungsholmen/ Nedre Kungsholmen,2723.0,2022-10-03,98438,32,2,1,0,0,1
1652,Repslagargatan 16,3800000,-0.04,Södermalm,3361.0,2022-10-02,84444,45,2,1,0,0,1
1653,Lill-Jans Plan 3A,7200000,-0.04,Östermalm,2768.0,2022-10-02,109091,66,2,1,0,0,1
1654,Ringvägen 87A,3565000,-0.1,Södermalm - Katarina Sofia,2085.0,2022-10-02,82907,43,1.5,1,0,0,1
1655,"Stagneliusvägen 42, 4 tr av 4",4550000,0.07,Fredhäll,2728.0,2022-10-02,85849,53,2,1,0,0,1
1656,"Folkungagatan 63 , 3,5 tr, mot gård!",5750000,0.05,Södermalm,2618.0,2022-10-02,112745,51,2,1,0,0,1
1657,"Torsgatan 39, vån 5 Accepterat Pris!",5950000,-0.15,Vasastan,1829.0,2022-10-02,99167,60,2,1,0,0,0
1658,Tideliusgatan 57,4900000,0.01,Södermalm Maria,3024.0,2022-10-02,71014,69,3.5,1,0,0,0
1659,Styrmansgatan 14B,8500000,0.0,Östermalm,2180.0,2022-10-01,154545,55,2,1,0,0,0
1660,Hagagatan 52 A,2900000,0.12,Vasastan,1905.0,2022-10-01,93548,31,1,1,0,0,0
1661,"Kellgrensgatan 10, 1 tr",6450000,-0.01,Kungsholmen,4981.0,2022-10-01,73295,88,4,1,0,0,1
1662,Roslagsgatan 23 B,6042000,0.01,Vasastan,2299.0,2022-10-01,100700,60,2,0,0,0,1
1663,"Sankt Eriksgatan 52A, 5tr",7050000,0.01,Kungsholmen,3197.0,2022-10-01,96575,73,2.5,1,0,0,1
1664,Gästrikegatan 14A,7700000,0.05,Vasastan,2926.0,2022-10-01,126230,61,3,0,0,0,0
1665,"Bondegatan 50, 4 tr",3800000,-0.05,Södermalm - Sofia,1777.0,2022-10-01,88372,43,2,1,0,0,0
