,address,price,price_change,area,list_fee,sold_date,price_sqm,sqm,rooms,Hiss,Uteplats,Nyproduktion,Balkong
1455,"Ljusterögatan 5, vån 4 / 5",3275000,0.09,"Sofia, Södermalm",2356.0,2022-10-11,88514,37,1.5,1,0,0,0
1456,"Parkgatan 18, 1 tr",6000000,0.0,Kungsholmen,2145.0,2022-10-11,96774,62,2,1,0,0,0
1457,"Roslagsgatan 58, 3tr",6200000,-0.05,Vasastan - Sibirien,3502.0,2022-10-11,95385,65,2,1,0,0,1
1458,"Ola Hanssonsgatan 1,3 tr",2620000,0.05,Kristineberg,1830.0,2022-10-11,90345,29,1.5,0,0,0,0
1459,Alströmergatan 32 H,4500000,0.13,Kungsholmen,2643.0,2022-10-11,97826,46,2,0,0,0,1
1460,"Linnégatan 16, 4tr",7870000,-0.02,Östermalm,3233.0,2022-10-11,115735,68,2,1,0,0,1
1461,Katarina Bangata 61,2200000,0.1,Södermalm,1339.0,2022-10-11,100000,22,1,1,0,0,0
1462,Långholmsgatan 11B - Gårdshus,2630000,0.05,Södermalm - Maria Högalid,1647.0,2022-10-11,105200,25,1,0,1,0,0
1463,Floragatan 7,3360000,0.16,Östermalm,912.0,2022-10-11,140000,24,1,1,0,0,1
1464,Nybrogatan 56,8200000,-0.2,Östermalm,3342.0,2022-10-11,120588,68,3,1,0,0,0
1465,Emmy rappes gata 3,4250000,-0.05,Hagastaden,2381.0,2022-10-11,105198,"40,4",2,1,0,0,0
1466,Linnégatan 42,6750000,-0.03,Östermalm,2590.0,2022-10-11,120536,56,2,1,0,0,0
1467,Kungsbro strand 19 våning 6 / 7,4850000,,Kungsholmen,4055.0,2022-10-11,94175,"51,5",2,1,0,0,1
1468,Birger Jarlsgatan 114,4760000,0.0,Östermalm / Vasastan,2057.0,2022-10-11,101277,47,2,1,0,0,0
1469,"Blekholmsterrassen 5, 8tr",8300000,0.04,Vasastan - City / Norrmalm,6835.0,2022-10-11,84264,"98,5",4,1,0,0,1
1470,"Odengatan 31C, 3tr",6300000,-0.03,Vasastan,585.0,2022-10-11,104132,"60,5",2,1,0,0,1
1471,"Tomtebogatan 21, 5 tr - vindsvåning",4600000,-0.07,Vasastan - Birkastan,1743.0,2022-10-11,148387,31+12,1.5,1,0,0,1
1472,"Bergsunds strand 34, accepterat pris!",3800000,0.03,Södermalm,2114.0,2022-10-11,86364,44,2,1,0,0,0
1473,Anders Reimers väg 11,3500000,0.03,Reimersholme,2488.0,2022-10-11,87500,40,2,1,0,0,0
1474,"Rosenlundsgatan 18, 4tr",3900000,0.0,Södermalm,2379.0,2022-10-11,90698,43,2,1,0,0,0
1475,Grevgatan 19,3650000,0.09,Östermalm,1047.0,2022-10-11,152083,24,1,1,0,0,1
1476,"Maria Skolgata 77 B, 6 tr",4675000,0.0,Södermalm,3057.0,2022-10-11,93500,50,2,1,0,0,1
